[2022-03-31 10:19:20,194][train.py][line:20][INFO] net:GCN_2(7, 20, 20)	 criterion:L1Loss()	 optimizer:Adam(1e-3)
[2022-03-31 10:19:20,194][train.py][line:21][INFO] avrbound:0.1	 latencylimit:5
[2022-03-31 10:19:20,194][train.py][line:22][INFO] clear to train
[2022-03-31 10:30:44,070][train.py][line:47][INFO] Epoch:[37/100]	 avrbaccu=0.742639	 acc=0.928122	 missaccu=0.061650
[2022-03-31 10:30:44,651][train.py][line:63][INFO] Test:	 avrbaccu=0.841727	 acc=0.937941	 missaccu=0.001308
[2022-03-31 10:31:00,450][train.py][line:47][INFO] Epoch:[38/100]	 avrbaccu=0.744965	 acc=0.928272	 missaccu=0.062232
[2022-03-31 10:31:00,966][train.py][line:63][INFO] Test:	 avrbaccu=0.850229	 acc=0.937740	 missaccu=0.001308
[2022-03-31 10:31:16,756][train.py][line:47][INFO] Epoch:[39/100]	 avrbaccu=0.745329	 acc=0.928377	 missaccu=0.062232
[2022-03-31 10:31:17,297][train.py][line:63][INFO] Test:	 avrbaccu=0.816874	 acc=0.933063	 missaccu=0.001308
[2022-03-31 10:31:36,290][train.py][line:47][INFO] Epoch:[40/100]	 avrbaccu=0.744529	 acc=0.928530	 missaccu=0.062523
[2022-03-31 10:31:36,914][train.py][line:63][INFO] Test:	 avrbaccu=0.850229	 acc=0.938422	 missaccu=0.001308
[2022-03-31 10:31:56,753][train.py][line:47][INFO] Epoch:[41/100]	 avrbaccu=0.747946	 acc=0.928747	 missaccu=0.062741
[2022-03-31 10:31:57,393][train.py][line:63][INFO] Test:	 avrbaccu=0.811642	 acc=0.935338	 missaccu=0.001308
[2022-03-31 10:32:17,668][train.py][line:47][INFO] Epoch:[42/100]	 avrbaccu=0.745402	 acc=0.928557	 missaccu=0.062450
[2022-03-31 10:32:18,327][train.py][line:63][INFO] Test:	 avrbaccu=0.852191	 acc=0.936547	 missaccu=0.001308
[2022-03-31 10:32:37,995][train.py][line:47][INFO] Epoch:[43/100]	 avrbaccu=0.744675	 acc=0.928676	 missaccu=0.062450
[2022-03-31 10:32:38,612][train.py][line:63][INFO] Test:	 avrbaccu=0.810334	 acc=0.933859	 missaccu=0.001308
[2022-03-31 10:32:57,806][train.py][line:47][INFO] Epoch:[44/100]	 avrbaccu=0.746783	 acc=0.928916	 missaccu=0.062523
[2022-03-31 10:32:58,443][train.py][line:63][INFO] Test:	 avrbaccu=0.858077	 acc=0.940874	 missaccu=0.001308
[2022-03-31 10:33:17,634][train.py][line:47][INFO] Epoch:[45/100]	 avrbaccu=0.744675	 acc=0.928588	 missaccu=0.062377
[2022-03-31 10:33:18,259][train.py][line:63][INFO] Test:	 avrbaccu=0.856115	 acc=0.941454	 missaccu=0.001308
[2022-03-31 10:33:37,428][train.py][line:47][INFO] Epoch:[46/100]	 avrbaccu=0.746201	 acc=0.928800	 missaccu=0.062232
[2022-03-31 10:33:38,061][train.py][line:63][INFO] Test:	 avrbaccu=0.861347	 acc=0.941896	 missaccu=0.001308
[2022-03-31 10:33:57,139][train.py][line:47][INFO] Epoch:[47/100]	 avrbaccu=0.746928	 acc=0.928808	 missaccu=0.061578
[2022-03-31 10:33:57,772][train.py][line:63][INFO] Test:	 avrbaccu=0.837802	 acc=0.938142	 missaccu=0.001308
[2022-03-31 10:34:16,941][train.py][line:47][INFO] Epoch:[48/100]	 avrbaccu=0.744675	 acc=0.928692	 missaccu=0.061505
[2022-03-31 10:34:17,558][train.py][line:63][INFO] Test:	 avrbaccu=0.851537	 acc=0.945897	 missaccu=0.001308
[2022-03-31 10:34:36,718][train.py][line:47][INFO] Epoch:[49/100]	 avrbaccu=0.745474	 acc=0.929091	 missaccu=0.061287
[2022-03-31 10:34:37,343][train.py][line:63][INFO] Test:	 avrbaccu=0.872466	 acc=0.947634	 missaccu=0.001308
[2022-03-31 10:34:56,463][train.py][line:47][INFO] Epoch:[50/100]	 avrbaccu=0.746347	 acc=0.928970	 missaccu=0.061941
[2022-03-31 10:34:57,087][train.py][line:63][INFO] Test:	 avrbaccu=0.856115	 acc=0.943193	 missaccu=0.001308
[2022-03-31 10:35:16,223][train.py][line:47][INFO] Epoch:[51/100]	 avrbaccu=0.747365	 acc=0.929096	 missaccu=0.062159
[2022-03-31 10:35:16,848][train.py][line:63][INFO] Test:	 avrbaccu=0.865925	 acc=0.940819	 missaccu=0.001308
[2022-03-31 10:35:36,068][train.py][line:47][INFO] Epoch:[52/100]	 avrbaccu=0.749037	 acc=0.929025	 missaccu=0.062305
[2022-03-31 10:35:36,693][train.py][line:63][INFO] Test:	 avrbaccu=0.867888	 acc=0.942834	 missaccu=0.001308
[2022-03-31 10:35:55,862][train.py][line:47][INFO] Epoch:[53/100]	 avrbaccu=0.749182	 acc=0.929063	 missaccu=0.061578
[2022-03-31 10:35:56,478][train.py][line:63][INFO] Test:	 avrbaccu=0.831262	 acc=0.942001	 missaccu=0.001308
[2022-03-31 10:36:15,673][train.py][line:47][INFO] Epoch:[54/100]	 avrbaccu=0.748891	 acc=0.929179	 missaccu=0.062087
[2022-03-31 10:36:16,298][train.py][line:63][INFO] Test:	 avrbaccu=0.798561	 acc=0.937054	 missaccu=0.001308
[2022-03-31 10:36:35,491][train.py][line:47][INFO] Epoch:[55/100]	 avrbaccu=0.749546	 acc=0.929195	 missaccu=0.062523
[2022-03-31 10:36:36,083][train.py][line:63][INFO] Test:	 avrbaccu=0.864617	 acc=0.942678	 missaccu=0.001308
[2022-03-31 10:36:55,269][train.py][line:47][INFO] Epoch:[56/100]	 avrbaccu=0.749328	 acc=0.928964	 missaccu=0.061505
[2022-03-31 10:36:55,902][train.py][line:63][INFO] Test:	 avrbaccu=0.867233	 acc=0.941950	 missaccu=0.001308
[2022-03-31 10:37:15,130][train.py][line:47][INFO] Epoch:[57/100]	 avrbaccu=0.751799	 acc=0.929207	 missaccu=0.061650
[2022-03-31 10:37:15,763][train.py][line:63][INFO] Test:	 avrbaccu=0.848921	 acc=0.939556	 missaccu=0.001308
[2022-03-31 10:37:34,933][train.py][line:47][INFO] Epoch:[58/100]	 avrbaccu=0.749691	 acc=0.929141	 missaccu=0.061723
[2022-03-31 10:37:35,544][train.py][line:63][INFO] Test:	 avrbaccu=0.861347	 acc=0.943632	 missaccu=0.001308
[2022-03-31 10:37:54,677][train.py][line:47][INFO] Epoch:[59/100]	 avrbaccu=0.748964	 acc=0.929128	 missaccu=0.061723
[2022-03-31 10:37:55,256][train.py][line:63][INFO] Test:	 avrbaccu=0.858731	 acc=0.939798	 missaccu=0.001308
[2022-03-31 10:38:11,457][train.py][line:47][INFO] Epoch:[60/100]	 avrbaccu=0.750200	 acc=0.929296	 missaccu=0.062014
[2022-03-31 10:38:11,998][train.py][line:63][INFO] Test:	 avrbaccu=0.805755	 acc=0.937626	 missaccu=0.001308
[2022-03-31 10:38:27,832][train.py][line:47][INFO] Epoch:[61/100]	 avrbaccu=0.748164	 acc=0.929265	 missaccu=0.061432
